Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
405;1;Stångmärkesgatan 4: Kärltvätt Standard ;1;156,56;K100;;YCJ
406;1;Björskogsgatan 6B: Kärltvätt Standard ;1;156,56;K100;;YCJ
407;1;Eskadergatan 24: Kärltvätt Standard ;2;156,56;K100;;YCJ
408;1;Repslagargatan 1-2: Kärltvätt Standard ;6;156,56;K100;;YCJ
409;1;Öster Mälarstrands allé 150-152: Kärltvätt Standard ;3;156,56;K100;;YCJ
410;1;Sjötullsgatan 2: Kärltvätt Standard ;16;156,56;K100;;YCJ
411;1;Forntidsgatan 2A: Kärltvätt Standard ;11;156,56;K100;;YCJ
412;1;Tågengatan 3: Kärltvätt Standard ;2;156,56;K100;;YCJ
413;1;Kartbladsvägen 1: Kärltvätt Standard ;3;156,56;K100;;YCJ
414;1;Gråsparvsvägen 2: Kärltvätt Standard ;2;156,56;K100;;YCJ
415;1;Origovägen 30: Kärltvätt Standard ;2;156,56;K100;;YCJ
416;1;Tågengatan 7: Kärltvätt Standard ;2;156,56;K100;;YCJ
417;1;Storsegelgatan 4: Kärltvätt Standard ;6;156,56;K100;;YCJ
418;1;Öster Mälarstrands Allé 123: Kärltvätt Standard ;1;156,56;K100;;YCJ
419;1;Genuagatan 8: Kärltvätt Standard ;2;156,56;K100;;YCJ
420;1;Karlfeldtsgatan 19: Kärltvätt Standard ;1;156,56;K100;;YCJ
421;1;Mälargatan 1: Kärltvätt Standard ;8;156,56;K100;;YCJ
422;1;Växelströmsgatan: Kärltvätt Standard ;18;156,56;K100;;YCJ
423;1;Dybecksgatan 13: Kärltvätt Standard ;3;156,56;K100;;YCJ
424;1;Näckrosvägen 2: Kärltvätt Standard ;4;156,56;K100;;YCJ
425;1;Stockrosvägen 2: Kärltvätt Standard ;4;156,56;K100;;YCJ
426;1;Stockrosvägen 1: Kärltvätt Standard ;4;156,56;K100;;YCJ
427;1;Kaserngatan 245: Kärltvätt Standard ;18;156,56;K100;;YCJ
428;1;Nanna Svartz gata 3: Kärltvätt Standard ;14;156,56;K100;;YCJ
429;1;Nanna Svartz gata 5: Kärltvätt Standard ;14;156,56;K100;;YCJ
430;1;Ångkraftsvägen 14: Kärltvätt Standard ;16;156,56;K100;;YCJ
431;1;Hemdalsvägen 3: Kärltvätt Standard ;7;156,56;K100;;YCJ
433;1;Stångmärkesgatan 4: Kärltvätt Standard ;1;156,56;K100;;YCJ
434;1;Mällringe 7: Kärltvätt Standard ;0;156,56;K100;;YCJ
435;1;Pilgatan 33: Kärltvätt Standard ;6;156,56;K100;;YCJ
498;1;Kaserngatan 245: Miljörum (m²) ;0;49,44;K100;;YCJ
526;1;Växelströmsgatan: Miljörum (m²) ;31;49,44;K100;;YCJ
527;1;Vårby allé 26-30: Miljörum Small ;1;815;K100;;YCJ
528;1;Vårby allé 26-30: Kärltvätt Standard ;1;245;K100;;YCJ
529;1;Gymnasievägen 9: Kärltvätt Hushåll ;5;245;K100;;YCJ
530;1;Högbrinksvägen 4-6: Kärltvätt Matavfall ;7;245;K100;;YCJ
531;1;Bergakungsvägen 10: Kärltvätt Standard ;2;245;K100;;YCJ
532;1;Bergakungsvägen 12-14: Kärltvätt Standard ;3;245;K100;;YCJ
533;1;Bergakungsvägen 16: Kärltvätt Standard ;2;245;K100;;YCJ
534;1;Bergakungsvägen 20: Kärltvätt Standard ;3;245;K100;;YCJ
535;1;Bergakungsvägen 22-40: Kärltvätt Standard ;3;245;K100;;YCJ
536;1;Bergakungsvägen 50-70: Kärltvätt Standard ;2;245;K100;;YCJ
537;1;Bergakungsvägen 18: Kärltvätt Standard ;3;245;K100;;YCJ
538;1;Bergakungsvägen 5: Kärltvätt Standard ;7;245;K100;;YCJ
585;1;Gamla Riksvägen 2, Ö-vik: Kärltvätt Standard ;5;245;K100;;ADO
586;1;Gamla Riksvägen 4 B: Kärltvätt Standard ;2;245;K100;;ADO
587;1;Vikingagatan 34: Kärltvätt Standard ;12;245;K100;;ADO
588;1;Vikingagatan 38, Ö-vik: Kärltvätt Standard  (2024-06-03 14:25);8;245;K100;;ADO
589;1;Valhallavägen 31, Ö-vik: Kärltvätt Standard  (2024-06-03 15:59);3;245;K100;;ADO
590;1;Valhallavägen 20, Ö-vik: Kärltvätt Standard  (2024-06-03 15:59);5;245;K100;;ADO
591;1;Fröjastigen 1, Ö-vik: Kärltvätt Standard ;13;245;K100;;ADO
592;1;Torsvägen 3, Ö-vik: Kärltvätt Standard  (2024-06-03 15:21);5;245;K100;;ADO
593;1;Torsvägen 3, Ö-vik: Kärltvätt Standard  (2024-06-03 15:08);6;245;K100;;ADO
594;1;Torsvägen 5, Ö-vik: Kärltvätt Standard ;5;245;K100;;ADO
595;1;Lingbo vob: Kärltvätt Standard  (2024-06-04 13:32);23;245;K100;;ADO
596;1;Lingbo vob, kök: Kärltvätt Standard  (2024-06-04 12:53);1;245;K100;;ADO
597;1;Vintergatan 12, Ö-vik: Kärltvätt Standard  (2024-06-03 15:55);12;245;K100;;ADO
598;1; soprum Hus N: Kärltvätt Standard  (2024-06-04 14:51);2;245;K100;;ADO
599;1;Gamla Riksvägen 2, Ö-vik: Kärltvätt Standard  (2024-06-03 13:41);5;245;K100;;ADO
600;1;Gamla Riksvägen 4 B: Kärltvätt Standard  (2024-06-03 13:58);2;245;K100;;ADO
601;1;Vikingagatan 34: Kärltvätt Standard  (2024-06-03 14:01);12;245;K100;;ADO
602;1;Vikingagatan 38, Ö-vik: Kärltvätt Standard ;8;245;K100;;ADO
603;1;Valhallavägen 31, Ö-vik: Kärltvätt Standard ;3;245;K100;;ADO
604;1;Valhallavägen 20, Ö-vik: Kärltvätt Standard ;5;245;K100;;ADO
605;1;Fröjastigen 1, Ö-vik: Kärltvätt Standard  (2024-06-03 15:57);13;245;K100;;ADO
606;1;Torsvägen 3, Ö-vik: Kärltvätt Standard ;5;245;K100;;ADO
607;1;Torsvägen 3, Ö-vik: Kärltvätt Standard ;6;245;K100;;ADO
608;1;Torsvägen 5, Ö-vik: Kärltvätt Standard  (2024-06-03 14:52);5;245;K100;;ADO
609;1;Lingbo vob: Kärltvätt Standard ;23;245;K100;;ADO
610;1;Lingbo vob, kök: Kärltvätt Standard ;1;245;K100;;ADO
611;1;Vintergatan 12, Ö-vik: Kärltvätt Standard ;12;245;K100;;ADO
612;1; soprum Hus N: Kärltvätt Standard  (2024-06-04 14:50);2;245;K100;;ADO
613;1;containerhuset: Kärltvätt Standard  (2024-06-04 14:50);14;245;K100;;ADO
614;1;kök Hus B: Kärltvätt Standard  (2024-06-04 14:51);6;245;K100;;ADO
615;1;restaurang, Hus G: Kärltvätt Standard  (2024-06-04 14:51);15;245;K100;;ADO
616;1;Korsängsgatan 79: Miljörum Large  (2024-02-14 15:00);2;648;K100;;BHO891
617;1;Korsängsgatan 79: Kärltvätt Standard  (2024-02-14 15:02);30;150;K100;;BHO891
618;1;Sadelmakargatan 4: Kärltvätt Standard  (2024-02-19 15:45);4;150;K100;;BHO891
619;1;Sadelmakargatan 10: Kärltvätt Standard  (2024-02-19 16:10);4;150;K100;;BHO891
620;1;Sadelmakargatan 24: Kärltvätt Standard  (2024-02-19 17:04);4;150;K100;;BHO891
621;1;Sadelmakargatan 11: Kärltvätt Standard  (2024-02-19 16:31);4;150;K100;;BHO891
622;1;Källgatan 5: Miljörum Medium  (2024-02-20 15:27);1;648;K100;;BHO891
623;1;Källgatan 5: Kärltvätt Standard  (2024-02-20 15:27);5;150;K100;;BHO891
624;1;Kryddgårdsgatan 26 (Kryddgården): Miljörum Medium  (2024-02-20 12:01);1;648;K100;;BHO891
625;1;Kryddgårdsgatan 26 (Kryddgården): Kärltvätt Standard  (2024-02-20 12:00);5;150;K100;;BHO891
626;1;Kryddgårdsgatan 28 (Kryddgården): Miljörum Medium  (2024-02-20 12:17);1;648;K100;;BHO891
627;1;Kryddgårdsgatan 28 (Kryddgården): Kärltvätt Standard  (2024-02-20 12:17);5;150;K100;;BHO891
628;1;Kryddgårdsgatan 30 (Kryddgården): Miljörum Medium  (2024-02-20 12:48);1;648;K100;;BHO891
629;1;Kryddgårdsgatan 30 (Kryddgården): Kärltvätt Standard  (2024-02-20 12:48);8;150;K100;;BHO891
630;1;Källgatan 1A: Miljörum Medium  (2024-02-20 16:10);1;648;K100;;BHO891
631;1;Källgatan 1A: Kärltvätt Standard  (2024-02-20 16:11);11;150;K100;;BHO891
632;1;Östra Ringgatan 32: Miljörum Large  (2024-02-20 11:26);1;648;K100;;BHO891
633;1;Östra Ringgatan 32: Kärltvätt Standard  (2024-02-20 11:29);13;150;K100;;BHO891
634;1;Kryddgårdsgatan 32B: Miljörum Medium  (2024-02-20 14:39);1;648;K100;;BHO891
635;1;Kryddgårdsgatan 32B: Kärltvätt Standard  (2024-02-20 14:38);5;150;K100;;BHO891
636;1;Kryddgårdsgatan 32A: Miljörum Medium  (2024-02-20 14:16);1;648;K100;;BHO891
637;1;Kryddgårdsgatan 32A: Kärltvätt Standard  (2024-02-20 14:16);5;150;K100;;BHO891
638;1;Sandgatan 30: Miljörum Medium  (2024-02-20 15:02);1;648;K100;;BHO891
639;1;Sandgatan 30: Kärltvätt Standard  (2024-02-20 15:02);5;150;K100;;BHO891
640;1;Sandgatan 28: Miljörum Small  (2024-02-20 11:30);1;648;K100;;BHO891
641;1;Sandgatan 28: Kärltvätt Standard  (2024-02-20 11:20);4;150;K100;;BHO891
642;1;Eriksgatan 33: Miljörum Medium  (2024-02-14 11:16);1;648;K100;;BHO891
643;1;Eriksgatan 33: Kärltvätt Standard  (2024-02-14 11:17);6;150;K100;;BHO891
644;1;Eriksgatan 31: Miljörum Medium  (2024-02-14 11:38);1;648;K100;;BHO891
645;1;Eriksgatan 31: Kärltvätt Standard  (2024-02-14 11:38);6;150;K100;;BHO891
646;1;Eriksgatan 29: Miljörum Medium  (2024-02-14 12:05);1;648;K100;;BHO891
647;1;Eriksgatan 29: Kärltvätt Standard  (2024-02-14 12:05);8;150;K100;;BHO891
648;1;Eriksgatan 27: Miljörum Medium  (2024-02-14 16:32);1;648;K100;;BHO891
649;1;Eriksgatan 27: Kärltvätt Standard  (2024-02-14 16:33);6;150;K100;;BHO891
650;1;Eriksgatan 25: Miljörum Medium  (2024-02-14 16:14);1;648;K100;;BHO891
651;1;Eriksgatan 25: Kärltvätt Standard  (2024-02-14 16:15);6;150;K100;;BHO891
