Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
6395;1;Månstorpsvägen 5: Kärltvätt Standard  (2024-05-14 14:16);4;156,64;K100;M;YCJ
6396;1;Månstorpsvägen 1: Kärltvätt Standard  (2024-05-14 14:13);2;156,64;K100;M;YCJ
6397;1;Månstorpsvägen 11: Kärltvätt Standard  (2024-05-14 14:31);4;156,64;K100;M;YCJ
6398;1;Vetevägen 11: Kärltvätt Standard  (2024-05-16 09:10);2;156,64;K100;M;YCJ
6399;1;Vetevägen 13: Kärltvätt Standard  (2024-05-16 09:17);2;156,64;K100;M;YCJ
6400;1;Rågvägen 2: Kärltvätt Standard  (2024-05-16 10:24);2;156,64;K100;M;YCJ
6401;1;Vetevägen 15: Kärltvätt Standard  (2024-05-16 09:27);6;156,64;K100;M;YCJ
6402;1;Vetevägen 1: Kärltvätt Standard  (2024-05-16 08:06);2;156,64;K100;M;YCJ
6403;1;Vetevägen 3: Kärltvätt Standard  (2024-05-16 08:21);2;156,64;K100;M;YCJ
6404;1;Vetevägen 4: Kärltvätt Standard  (2024-05-15 11:23);2;156,64;K100;M;YCJ
6405;1;Vetevägen 10: Kärltvätt Standard  (2024-05-15 11:50);2;156,64;K100;M;YCJ
6406;1;Vetevägen 12: Kärltvätt Standard  (2024-05-15 12:06);2;156,64;K100;M;YCJ
6407;1;Vetevägen 9: Kärltvätt Standard  (2024-05-16 08:45);2;156,64;K100;M;YCJ
6408;1;Vetevägen 6: Kärltvätt Standard  (2024-05-15 11:37);2;156,64;K100;M;YCJ
6409;1;Vetevägen 14: Kärltvätt Standard  (2024-05-15 12:19);2;156,64;K100;M;YCJ
6410;1;Vetevägen 2: Kärltvätt Standard  (2024-05-15 12:12);2;156,64;K100;M;YCJ
6411;1;Vetevägen 5: Kärltvätt Standard  (2024-05-16 08:33);2;156,64;K100;M;YCJ
6412;1;Rågvägen 5: Kärltvätt Standard  (2024-05-16 13:01);2;156,64;K100;M;YCJ
6413;1;Rågvägen 6: Kärltvätt Standard  (2024-05-16 10:53);2;156,64;K100;M;YCJ
6414;1;Rågvägen 3: Kärltvätt Standard  (2024-05-16 13:20);2;156,64;K100;M;YCJ
6415;1;Rågvägen 4: Kärltvätt Standard  (2024-05-16 10:39);2;156,64;K100;M;YCJ
6416;1;Rågvägen 7: Kärltvätt Standard  (2024-05-16 12:48);2;156,64;K100;M;YCJ
6417;1;Rågvägen 10: Kärltvätt Standard  (2024-05-16 11:07);2;156,64;K100;M;YCJ
6418;1;Rågvägen 11: Kärltvätt Standard  (2024-05-16 12:33);2;156,64;K100;M;YCJ
6419;1;Rågvägen 12: Kärltvätt Standard  (2024-05-16 11:20);2;156,64;K100;M;YCJ
6420;1;Rågvägen 13: Kärltvätt Standard  (2024-05-16 12:19);2;156,64;K100;M;YCJ
6421;1;Rågvägen 14: Kärltvätt Standard  (2024-05-16 11:31);2;156,64;K100;M;YCJ
6422;1;Rågvägen 15: Kärltvätt Standard  (2024-05-16 12:06);2;156,64;K100;M;YCJ
6423;1;Kungsklippevägen 11: Kärltvätt Standard  (2024-05-16 15:20);4;156,64;K100;M;YCJ
6424;1;Nynäsvägen 64: Kärltvätt Standard  (2024-05-13 13:00);17;156,64;K100;M;YCJ
6425;1;Nynäsvägen 56: Kärltvätt Standard  (2024-05-13 13:44);13;156,64;K100;M;YCJ
6426;1;Vendelsömalmsvägen 104: Kärltvätt Standard ;7;156,64;K100;M;YCJ
6427;1;Stökhagsvägen 1: Kärltvätt Matavfall  (2024-05-15 10:13);3;156,64;K100;M;YCJ
6428;1;Rålambsvägen 28D: Kärltvätt Standard  (2024-05-06 08:52);8;285;K100;M;YCJ
6429;1;Ragvaldsgatan 19 B: Kärltvätt Matavfall  (2024-05-23 10:43);1;128;K100;M;BHO891
6430;1;Ragvaldsgatan 19 B: Kärltvätt Hushåll  (2024-05-23 10:40);3;128;K100;M;BHO891
6431;1;Klockgjutaren 1-3: Miljörum Medium  (2024-05-07 18:19);1;990;K100;N;ADO
